QUESTIONS,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DESCRIPTION D,ANSWER
80. How can resource substitution help achieve family goals?,By wasting money on unnecessary items,"By swapping one resource for another to maintain progress
",By avoiding difficult tasks,By ignoring priorities,Option A is incorrect because wasting resources undermines goal achievement.,"The correct answer is B because substituting one resource (e.g., walking instead of taking a bus) allows the family to continue meeting goals without extra cost or delay.","Option C is incorrect because avoiding tasks prevents progress.
",Option D is incorrect because ignoring priorities results in inefficient use of resources.,B
81. What is the role of a homemaker in achieving family goals?,Delegating all tasks randomly,"Planning, organizing, and motivating family members",Avoiding involvement in household decisions,Focusing only on cleaning,"Option A is incorrect because random delegation leads to inefficiency.
","The correct answer is B because a homemaker coordinates activities, manages resources, and motivates family members toward shared goals.",Option C is incorrect because avoiding decisions prevents goal achievement.,Option D is incorrect because cleaning is only one of many responsibilities; the role is broader.,B
"82. Which action best demonstrates informed choice?
",Buying due to urgency,Relying solely on discounts,Evaluating product information,Following influencers,Option A is incorrect because urgency pressures decisions.,Option B is incorrect because discounts may mislead.,The correct answer is C because informed choices rely on facts.,Option D is incorrect because influence replaces judgment.,C
83. Why should consumers consider opportunity cost?,To increase spending,To understand trade-offs in choices,To ignore alternatives,To follow trends,"Option A is incorrect because spending is evaluated.
","The correct answer is B because opportunity cost highlights what is given up.
",Option C is incorrect because alternatives matter.,"Option D is incorrect because trends may mislead.
",B
"84. The ultimate aim of consumer education is to:
",Control consumer behavior,Increase market demand,Empower responsible and informed consumers,Promote brand dominance,Option A is incorrect because autonomy is respected.,Option B is incorrect because demand is not the focus.,The correct answer is C because empowerment and responsibility are core goals.,Option D is incorrect because dominance harms competition.,C
85. How does understanding opportunity cost improve consumer decision-making?,It helps consumers recognize what they give up when choosing one option over another,It encourages buying the cheapest product available,It focuses only on immediate benefits,It eliminates the need to compare alternatives,The correct answer is A because understanding opportunity cost allows consumers to evaluate trade-offs and make more thoughtful choices.,Option B is incorrect because the cheapest option may not offer the best value.,Option C is incorrect because opportunity cost considers long-term effects.,Option D is incorrect because comparison is essential in evaluating opportunity cost.,A
86. How can households conserve resources to improve satisfaction?,By tracking use and reducing waste,By spending freely,By ignoring needs,By avoiding planning,"The correct answer is A because careful monitoring and minimizing waste ensures resources are available for essential goals, increasing satisfaction.",Option B is incorrect because excessive spending depletes resources.,Option C is incorrect because ignoring needs reduces well-being.,Option D is incorrect because avoidance prevents proper allocation of resources.,A
87. Why are management skills important in everyday household life?,They allow resources to be used efficiently to meet goals,They make tasks more complicated,They are unnecessary,They replace family decision-making,"The correct answer is A because management skills help plan, organize, and control resource use to ensure family goals are met effectively.","Option B is incorrect because management simplifies, not complicates, tasks.
","Option C is incorrect because households require decisions and planning.
","Option D is incorrect because management skills support, not replace, family decision-making.
",A
88. Critique: “Resources are useful only when unlimited.” Which is correct?,"True, because abundance solves problems","False, because scarce resources must be managed wisely","True, planning is irrelevant","False, resources are never needed",Option A is incorrect because abundance is rare and does not teach efficient use.,The correct answer is B because all resources are limited; effective management ensures they are allocated to achieve maximum benefits.,Option C is incorrect because planning is essential regardless of resource levels.,Option D is incorrect because resources are always required for household functioning.,B
89. How is household resource management applied in real life?,"Planning, using, and evaluating resources for satisfaction",Random use of resources,Ignoring available tools,Avoiding planning,The correct answer is A because applying the principles of management ensures resources are used systematically to meet household goals.,Option B is incorrect because random resource use leads to waste.,Option C is incorrect because tools and materials are essential for efficiency.,Option D is incorrect because planning is central to effective management.,A
90. How can the main characteristics of resources be synthesized into a family guide?,"Explain scarcity, substitutability, and efficient use for better decisions",Ignore characteristics,Encourage unlimited use,Avoid planning,"The correct answer is A because a clear guide on how resources are limited, substitutable, and manageable helps families make informed and efficient decisions.",Option B is incorrect because ignoring characteristics prevents understanding and proper use.,Option C is incorrect because resources are rarely unlimited; promoting unlimited use is unrealistic.,Option D is incorrect because planning is essential for effective resource management.,A
