Questions,A,B,C,D,DESCRIPTION A,DESCRIPTION B,DESCRIPTION C,DESCRIPTION D,ANSWER
"76. When transferring an embroidery design using the tracing method, which tool is specifically used to ensure the lines are clean without damaging the fabric?",Tracing paper,Stiletto,Pounce,Crewel needle,Tracing paper is the primary medium used to transfer designs directly onto the fabric surface.,"A stiletto is used for making eyelets or holes in the fabric, not for tracing lines.","Pounce is a fine powder used in the prick and pounce method, not the tracing method.","A crewel needle is an embroidery tool for stitching, not for transferring designs.",A 
77. Abaca is often called Manila Hemp. Why is this name technically inaccurate?,It doesn't grow in Manila.,"It is only used for food, not for fiber.","It is a synthetic fiber, not a natural one.",It is not a member of the Hemp (Cannabis) family; it is a member of the Banana family.,"While it grows across the Philippines, the name Manila refers to the port it was shipped from.",Abaca is primarily a fiber crop; its fruit is non-edible.,Abaca is a 100% natural leaf fiber.,"Abaca is Musa textilis, a relative of the banana, whereas true hemp is Cannabis sativa.",D
"78. In Smocking, Surface Stitches differ from Gathering Stitches in what way?",Surface stitches are done on the back; gathering stitches on the front.,Surface stitches are purely decorative; gathering stitches hold the pleats in place.,Surface stitches use wire; gathering stitches use thread.,There is no difference.,Both are usually visible or worked from the front (except the dots/guide).,"Gathering stitches are the structural ""foundation"" that creates the pleats, while surface stitches create the pattern.",Both use embroidery floss or thread.,They serve distinct structural and aesthetic functions.,B
79. Which of the following is a safety rule when working with Bamboo and Rattan tools?,Keep your fingers away from the path of the cutting tool.,Use a dull blade to prevent deep cuts.,Always cut towards your body for better control.,Never wear eye protection.,Standard safety requires keeping hands clear of the strike zone or cutting path.,"Dull blades require more force and are more likely to slip, causing accidents.",You should always cut away from your body.,Eye protection is essential when splitting bamboo or using power tools.,A 
"80. In Crochet, what is a Magic Ring?",A plastic ring you sew into the project.,A specialized hook with a light on it.,An adjustable loop used to start projects worked in the round,A stitch that uses two different colors at once.,"This would be a plastic ring join, not a magic ring.",That is a lighted crochet hook.,The magic ring allows the center hole of a circular project to be pulled completely closed.,This refers to tapestry crochet.,C
81. Which paper craft involves coiling and shaping narrow strips of paper to create intricate designs?,Origami,Kirigami,Papier-mâché,Paper Quilling,Origami is folding.,Kirigami is the art of folding and cutting paper.,Papier-mâché uses pulp or layered strips.,Quilling is specifically the art of rolling/coiling paper strips.,D
"82. What is the standard number of strands used when embroidery patterns call for ""two strands of floss""?",2 individual strands pulled from the 6-strand skein,6 strands,12 strands,1 strand folded in half,You must separate the strands to achieve the desired thickness.,Standard embroidery floss comes in 6 strands.,12 strands would be extremely thick and difficult to pull through fabric.,"While this results in 2 strands, two strands usually implies two separate lengths.",A 
"83. In Bamboo craft, what is the Internode?",The solid joint.,The branch of the bamboo.,The root of the bamboo.,The hollow space between two joints.,The joint is the node.,The branch is a separate structural appendage.,The root is the rhizome.,"The internode is the smooth, hollow section between nodes.",D
"84. Which rattan grade is typically the highest, indicating no blemishes and a uniform color?",Grade C,Grade A,Rejects,Unwashed,Grade C has significant blemishes and color irregularities.,"Grade A rattan is the premium export quality, free from scars and uniform in diameter.",Rejects are materials that cannot be used for standard production.,"Unwashed refers to the processing state, not necessarily the quality grade.",B
85. Why is Satin Stitch often used for filling large areas in embroidery?,It uses the least amount of thread.,It is the strongest stitch and won't snag.,"It creates a smooth, silk-like surface that covers the fabric completely.",It is only used for making outlines.,Satin stitch actually uses a lot of thread because it covers both sides of the fabric.,"Parallel rows of satin stitch create a lustrous, solid fill.","Parallel rows of satin stitch create a lustrous, solid fill.",Outline stitches include backstitch and stem stitch.,C
"86. Which smocking stitch is most similar in appearance to a ""Chain Link""?",Cable stitch,Stem stitch,Honeycomb stitch,Wave stitch,"When worked in alternating directions, cable stitches resemble a chain link.",Stem stitch looks like a rope or vine.,Honeycomb looks like a diamond grid.,"Wave stitch is diagonal and flowing, not link-like.",A 
"87. In Crochet, what does the term Gauge refer to?",The number of stitches and rows per inch.,The price of the yarn.,The length of the crochet hook.,The weight of the finished project.,Gauge ensures that the finished item will be the correct size.,This is the retail cost.,"Hook length is standard; ""size"" refers to diameter.",This is simply the project weight.,A 
"88. When sorting Abaca fibers for high-end textile production, why are fibers taken from the inner leaf sheaths of the stalk valued differently than those from the outer sheaths?",They are significantly darker and more weather-resistant.,They are the longest fibers but the most difficult to dye.,They contain a higher concentration of natural oils that prevent them from drying out.,"They are whiter, softer, and more lustrous, making them ideal for fine weaving.","The outer sheaths produce the darkest and toughest fibers, not the inner ones.",Length is generally consistent throughout the stalk; the primary difference is texture and color.,"Abaca fibers are valued for their cellulose strength, not for oil content, which is actually removed during processing.","Inner sheaths are protected from the elements, resulting in the high-quality, pale fibers used for Sinamay and fine clothing.",D
89. A crochet pattern requires a stitch that is taller than a Double Crochet. Which technical execution correctly describes the Treble Crochet?,"Yarn over once, insert hook, and pull through all three loops at once.","Yarn over twice, insert hook, and pull through two loops three times.",Insert hook into the stitch without a yarn over and pull through both loops.,Yarn over three times and pull through all loops in a single motion.,This describes a Half Double Crochet.,"A Treble Crochet is defined by two yarn overs at the start, creating a taller post by pulling through loops in three stages.",This describes a Single Crochet.,"Yarn over three times would be a Double Treble, and pulling through all loops at once would not create the necessary height.",B
"90. In the post-processing of Rattan, what is the primary purpose of using a Hydrogen Peroxide solution?",To soften the rattan poles so they can be bent into furniture frames.,To act as a powerful adhesive when joining two rattan stems together.,To seal the pores of the rattan to make it completely waterproof for outdoor use.,"To bleach the material to achieve a uniform, natural-white appearance.","Softening for bending is achieved through heat (steam or blowtorch), not chemical bleaching agents.",Hydrogen peroxide is an oxidizer and has no adhesive properties.,"Sealing is done with lacquer, varnish, or wax during the finishing stage.",Bleaching is a standard industrial step to remove natural stains and create the uniform light color expected in export-quality rattan.,D
